tag;calPosX;calPosY;calPosZ;calRotX;calRotY;calRotZ;calRotW;angVelX;angVelY;angVelZ;linVelX;linVelY;linVelZ;scale;time
head;-0.533804;0.253532;1.56864;0.37182;0.638166;0.605884;0.295633;1;2;3;7;8;9;0.958903;10.5151
hip;-0.588251;0.22583;0.914321;-0.223672;-0.546293;-0.7552;-0.28497;1;2;3;7;8;9;0.958903;10.5151
lHand;-0.69834;0.592158;0.836842;-0.288327;0.428549;-0.35848;0.777628;1;2;3;7;8;9;0.958903;10.5151
rHand;-0.243256;0.402915;0.865391;0.165849;0.175451;0.0417567;-0.969519;1;2;3;7;8;9;0.958903;10.5151
lFoot;-0.660833;0.384024;0.0625655;-0.40843;-0.895801;0.127209;0.120597;1;2;3;7;8;9;0.958903;10.5151
rFoot;-0.554302;0.0951197;0.172622;-0.2892;-0.86733;0.400067;0.0636179;1;2;3;7;8;9;0.958903;10.5151
head;-0.532993;0.25707;1.56931;0.377806;0.635837;0.602315;0.300317;1;2;3;7;8;9;0.958903;10.5463
hip;-0.588863;0.229139;0.915275;-0.228616;-0.546301;-0.750543;-0.293214;1;2;3;7;8;9;0.958903;10.5463
lHand;-0.687374;0.604691;0.840971;-0.273657;0.430349;-0.366993;0.777964;1;2;3;7;8;9;0.958903;10.5463
rHand;-0.241182;0.394768;0.860091;0.183343;0.169869;0.049715;-0.966984;1;2;3;7;8;9;0.958903;10.5463
lFoot;-0.660745;0.38409;0.0625304;-0.409731;-0.895185;0.127682;0.120255;1;2;3;7;8;9;0.958903;10.5463
rFoot;-0.554847;0.107977;0.171149;-0.313905;-0.861916;0.392373;0.0678814;1;2;3;7;8;9;0.958903;10.5463
head;-0.532219;0.260685;1.57007;0.384;0.633508;0.598547;0.304883;1;2;3;7;8;9;0.958903;10.5628
hip;-0.589176;0.232575;0.916196;-0.233976;-0.545509;-0.745996;-0.301936;1;2;3;7;8;9;0.958903;10.5628
lHand;-0.675423;0.616973;0.845101;-0.261105;0.429527;-0.374555;0.779128;1;2;3;7;8;9;0.958903;10.5628
rHand;-0.23943;0.385485;0.855419;0.198732;0.164605;0.0596075;-0.964291;1;2;3;7;8;9;0.958903;10.5628
lFoot;-0.6609;0.384006;0.0626692;-0.410576;-0.894694;0.128515;0.120138;1;2;3;7;8;9;0.958903;10.5628
rFoot;-0.553546;0.120689;0.16967;-0.335553;-0.857256;0.383741;0.0725128;1;2;3;7;8;9;0.958903;10.5628
head;-0.531294;0.26418;1.57079;0.390124;0.630992;0.594833;0.30956;1;2;3;7;8;9;0.958903;10.5793
hip;-0.590365;0.236913;0.916883;-0.239065;-0.544177;-0.741986;-0.310124;1;2;3;7;8;9;0.958903;10.5793
lHand;-0.66283;0.628657;0.849285;-0.2488;0.428795;-0.382525;0.779685;1;2;3;7;8;9;0.958903;10.5793
rHand;-0.2379;0.375975;0.851281;0.211808;0.160907;0.0712877;-0.961335;1;2;3;7;8;9;0.958903;10.5793
lFoot;-0.660858;0.383623;0.0626941;-0.409722;-0.895027;0.129628;0.119382;1;2;3;7;8;9;0.958903;10.5793
rFoot;-0.552646;0.133951;0.167632;-0.357065;-0.851821;0.375598;0.0763632;1;2;3;7;8;9;0.958903;10.5793
head;-0.530266;0.267445;1.57148;0.396161;0.628256;0.591286;0.314216;1;2;3;7;8;9;0.958903;10.6125
hip;-0.590469;0.240754;0.917508;-0.243875;-0.541568;-0.738835;-0.318358;1;2;3;7;8;9;0.958903;10.6125
lHand;-0.650009;0.639386;0.853466;-0.235884;0.428143;-0.391333;0.779686;1;2;3;7;8;9;0.958903;10.6125
rHand;-0.236825;0.366155;0.847173;0.22362;0.157552;0.084872;-0.958107;1;2;3;7;8;9;0.958903;10.6125
lFoot;-0.660785;0.382921;0.0625801;-0.406995;-0.896171;0.131344;0.118241;1;2;3;7;8;9;0.958903;10.6125
rFoot;-0.5499;0.14735;0.163709;-0.374127;-0.849181;0.363848;0.0808468;1;2;3;7;8;9;0.958903;10.6125
head;-0.529254;0.270786;1.5721;0.401984;0.625459;0.587788;0.318929;1;2;3;7;8;9;0.958903;10.6303
hip;-0.590835;0.244437;0.918281;-0.248474;-0.540154;-0.73496;-0.326081;1;2;3;7;8;9;0.958903;10.6303
lHand;-0.636476;0.649897;0.857709;-0.223026;0.426719;-0.400673;0.779507;1;2;3;7;8;9;0.958903;10.6303
rHand;-0.235766;0.356403;0.843458;0.235879;0.153997;0.0984567;-0.954438;1;2;3;7;8;9;0.958903;10.6303
lFoot;-0.660465;0.382749;0.0626224;-0.407434;-0.89579;0.132787;0.118012;1;2;3;7;8;9;0.958903;10.6303
rFoot;-0.545277;0.16064;0.158561;-0.393267;-0.846716;0.348646;0.0828224;1;2;3;7;8;9;0.958903;10.6303
head;-0.528034;0.273938;1.57263;0.407629;0.62244;0.584522;0.323637;1;2;3;7;8;9;0.958903;10.6623
hip;-0.591024;0.247586;0.919058;-0.252777;-0.53941;-0.73081;-0.333254;1;2;3;7;8;9;0.958903;10.6623
lHand;-0.622414;0.659844;0.861958;-0.209834;0.425195;-0.410631;0.778821;1;2;3;7;8;9;0.958903;10.6623
rHand;-0.23487;0.345827;0.840171;0.246601;0.149936;0.114807;-0.95054;1;2;3;7;8;9;0.958903;10.6623
lFoot;-0.660432;0.382897;0.062655;-0.410556;-0.894215;0.133707;0.118091;1;2;3;7;8;9;0.958903;10.6623
rFoot;-0.541406;0.174006;0.154135;-0.414361;-0.841515;0.336031;0.0850859;1;2;3;7;8;9;0.958903;10.6623
head;-0.52689;0.277122;1.57299;0.413249;0.619196;0.581384;0.328351;1;2;3;7;8;9;0.958903;10.6796
hip;-0.5911;0.250563;0.919739;-0.256986;-0.539064;-0.726311;-0.340355;1;2;3;7;8;9;0.958903;10.6796
lHand;-0.609121;0.669158;0.865914;-0.195915;0.423829;-0.420646;0.777845;1;2;3;7;8;9;0.958903;10.6796
rHand;-0.234229;0.335619;0.836557;0.258572;0.145349;0.129348;-0.946194;1;2;3;7;8;9;0.958903;10.6796
lFoot;-0.660371;0.383053;0.0626286;-0.412168;-0.893286;0.134549;0.118551;1;2;3;7;8;9;0.958903;10.6796
rFoot;-0.536193;0.187866;0.148636;-0.436782;-0.835695;0.321474;0.0865464;1;2;3;7;8;9;0.958903;10.6796
head;-0.525613;0.28013;1.57326;0.418859;0.615667;0.578453;0.333022;1;2;3;7;8;9;0.958903;10.7123
hip;-0.590999;0.253698;0.920386;-0.261603;-0.538561;-0.721548;-0.347685;1;2;3;7;8;9;0.958903;10.7123
lHand;-0.594326;0.677839;0.870221;-0.182781;0.421635;-0.431135;0.776491;1;2;3;7;8;9;0.958903;10.7123
rHand;-0.23384;0.325287;0.833315;0.270957;0.139584;0.144153;-0.941445;1;2;3;7;8;9;0.958903;10.7123
lFoot;-0.6602;0.383173;0.0629533;-0.412385;-0.892932;0.135494;0.11938;1;2;3;7;8;9;0.958903;10.7123
rFoot;-0.529877;0.200665;0.144079;-0.458607;-0.828913;0.307955;0.0880097;1;2;3;7;8;9;0.958903;10.7123
head;-0.524193;0.283002;1.57338;0.424465;0.611799;0.575765;0.337678;1;2;3;7;8;9;0.958903;10.7296
hip;-0.59069;0.256679;0.920948;-0.266477;-0.537564;-0.717083;-0.354692;1;2;3;7;8;9;0.958903;10.7296
lHand;-0.579324;0.685282;0.874434;-0.169217;0.419804;-0.441661;0.774639;1;2;3;7;8;9;0.958903;10.7296
rHand;-0.233655;0.314381;0.830369;0.283752;0.130115;0.161119;-0.936267;1;2;3;7;8;9;0.958903;10.7296
lFoot;-0.660054;0.383411;0.0630877;-0.414375;-0.891738;0.136532;0.120228;1;2;3;7;8;9;0.958903;10.7296
rFoot;-0.521651;0.213226;0.138883;-0.479119;-0.822591;0.293188;0.0884903;1;2;3;7;8;9;0.958903;10.7296
head;-0.522645;0.285735;1.57349;0.430033;0.607853;0.573075;0.342302;1;2;3;7;8;9;0.958903;10.7626
hip;-0.590334;0.259658;0.92125;-0.271192;-0.536262;-0.713021;-0.36122;1;2;3;7;8;9;0.958903;10.7626
lHand;-0.564473;0.693197;0.87912;-0.155618;0.41786;-0.451941;0.77261;1;2;3;7;8;9;0.958903;10.7626
rHand;-0.233708;0.303489;0.827656;0.296577;0.121498;0.177466;-0.930477;1;2;3;7;8;9;0.958903;10.7626
lFoot;-0.659776;0.383406;0.0632555;-0.417051;-0.890123;0.138379;0.120832;1;2;3;7;8;9;0.958903;10.7626
rFoot;-0.51049;0.222928;0.135784;-0.497998;-0.816357;0.279041;0.0877183;1;2;3;7;8;9;0.958903;10.7626
head;-0.520912;0.288546;1.57351;0.435649;0.603781;0.570277;0.347049;1;2;3;7;8;9;0.958903;10.7965
hip;-0.590115;0.263061;0.921102;-0.275449;-0.534913;-0.709387;-0.367104;1;2;3;7;8;9;0.958903;10.7965
lHand;-0.548473;0.6983;0.882445;-0.14248;0.415486;-0.462555;0.770139;1;2;3;7;8;9;0.958903;10.7965
rHand;-0.234027;0.292698;0.824763;0.308549;0.112442;0.193498;-0.924507;1;2;3;7;8;9;0.958903;10.7965
