tag;calPosX;calPosY;calPosZ;calRotX;calRotY;calRotZ;calRotW;angVelX;angVelY;angVelZ;linVelX;linVelY;linVelZ;scale;time
head;-0.0092028;0.0100241;1.58214;0.694996;-0.0127169;0.0102002;0.718829;1;2;3;7;8;9;0.958903;2.98071
hip;0.00191513;0.064817;0.925218;0.587859;0.000289407;0.00347174;0.808956;1;2;3;7;8;9;0.958903;2.98071
lHand;0.395322;-0.0329801;0.863327;0.13156;0.461172;-0.852752;0.206946;1;2;3;7;8;9;0.958903;2.98071
rHand;-0.430167;-0.0366486;0.857996;0.178773;-0.479733;0.849201;0.129436;1;2;3;7;8;9;0.958903;2.98071
lFoot;0.138254;0.0521945;0.0697976;-0.984902;-0.038111;-0.0578124;0.158663;1;2;3;7;8;9;0.958903;2.98071
rFoot;-0.138272;0.0519172;0.0701185;-0.98449;0.0387861;0.0620685;0.159442;1;2;3;7;8;9;0.958903;2.98071
head;-0.00922186;0.00948049;1.58224;0.695141;-0.0121649;0.00992884;0.718702;1;2;3;7;8;9;0.958903;2.99565
hip;0.00196657;0.0642578;0.925102;0.586717;0.000492632;0.00441694;0.80978;1;2;3;7;8;9;0.958903;2.99565
lHand;0.386522;-0.0323578;0.859292;0.123316;0.460584;-0.855093;0.203648;1;2;3;7;8;9;0.958903;2.99565
rHand;-0.422124;-0.0366937;0.854007;0.176455;-0.478779;0.850491;0.127665;1;2;3;7;8;9;0.958903;2.99565
lFoot;0.138314;0.0521826;0.0698957;-0.984857;-0.0382477;-0.0576911;0.158951;1;2;3;7;8;9;0.958903;2.99565
rFoot;-0.138228;0.0518877;0.0701539;-0.984432;0.0386917;0.0622947;0.159738;1;2;3;7;8;9;0.958903;2.99565
head;-0.00931416;0.00903464;1.58227;0.695263;-0.0117486;0.00961837;0.718595;1;2;3;7;8;9;0.958903;3.01218
hip;0.00220994;0.0635969;0.924997;0.586185;0.000489991;0.00461842;0.810164;1;2;3;7;8;9;0.958903;3.01218
lHand;0.377568;-0.031895;0.855127;0.114145;0.459421;-0.857188;0.202811;1;2;3;7;8;9;0.958903;3.01218
rHand;-0.41423;-0.0364998;0.849701;0.173806;-0.478907;0.851426;0.124555;1;2;3;7;8;9;0.958903;3.01218
lFoot;0.1382;0.0521915;0.0698571;-0.984841;-0.0387544;-0.0573724;0.159043;1;2;3;7;8;9;0.958903;3.01218
rFoot;-0.138198;0.0517841;0.0702137;-0.984362;0.0388746;0.0622746;0.16013;1;2;3;7;8;9;0.958903;3.01218
head;-0.00928745;0.00844293;1.58224;0.695591;-0.0112664;0.00942869;0.718288;1;2;3;7;8;9;0.958903;3.02904
hip;0.00233264;0.0631772;0.924964;0.586151;0.000389714;0.00447962;0.810189;1;2;3;7;8;9;0.958903;3.02904
lHand;0.369397;-0.0307373;0.851187;0.103882;0.457514;-0.859312;0.203651;1;2;3;7;8;9;0.958903;3.02904
rHand;-0.40621;-0.037237;0.845959;0.170997;-0.482031;0.850897;0.119918;1;2;3;7;8;9;0.958903;3.02904
