tag;calPosX;calPosY;calPosZ;calRotX;calRotY;calRotZ;calRotW;angVelX;angVelY;angVelZ;linVelX;linVelY;linVelZ;scale;time
head;-0.191793;-0.147296;1.5585;0.596472;-0.451734;-0.364993;0.55402;1;2;3;7;8;9;0.958903;5.38319
hip;-0.12219;-0.156177;0.902898;0.479271;-0.355384;-0.445136;0.667724;1;2;3;7;8;9;0.958903;5.38319
lHand;-0.0475839;-0.34676;0.773478;0.39649;0.511302;-0.629281;-0.430548;1;2;3;7;8;9;0.958903;5.38319
rHand;-0.58962;-0.117563;0.943296;0.140204;0.039226;0.856651;0.494927;1;2;3;7;8;9;0.958903;5.38319
lFoot;-0.291172;-0.385453;0.0647514;-0.683942;0.716598;-0.133479;-0.0299168;1;2;3;7;8;9;0.958903;5.38319
rFoot;-0.0197009;0.0208353;0.0936779;0.882975;-0.354904;0.135709;-0.275648;1;2;3;7;8;9;0.958903;5.38319
head;-0.195307;-0.151011;1.55897;0.592525;-0.45865;-0.369928;0.549279;1;2;3;7;8;9;0.958903;5.399
hip;-0.128238;-0.161914;0.903317;0.474106;-0.360951;-0.453804;0.662571;1;2;3;7;8;9;0.958903;5.399
lHand;-0.0564943;-0.354367;0.772794;0.398489;0.506192;-0.63018;-0.433416;1;2;3;7;8;9;0.958903;5.399
rHand;-0.592822;-0.116856;0.942211;0.142166;0.0365344;0.855548;0.496479;1;2;3;7;8;9;0.958903;5.399
lFoot;-0.292472;-0.394667;0.0673749;-0.651588;0.74223;-0.153388;-0.031623;1;2;3;7;8;9;0.958903;5.399
rFoot;-0.0203636;0.0197095;0.0966535;0.880515;-0.35485;0.138056;-0.28234;1;2;3;7;8;9;0.958903;5.399
head;-0.198835;-0.15476;1.55944;0.588349;-0.465436;-0.37485;0.544704;1;2;3;7;8;9;0.958903;5.41489
hip;-0.134793;-0.167508;0.904255;0.466586;-0.368446;-0.463105;0.657327;1;2;3;7;8;9;0.958903;5.41489
lHand;-0.0656514;-0.362486;0.772344;0.400834;0.499612;-0.631871;-0.436416;1;2;3;7;8;9;0.958903;5.41489
rHand;-0.595603;-0.11575;0.94073;0.145024;0.0320005;0.85468;0.49746;1;2;3;7;8;9;0.958903;5.41489
lFoot;-0.288873;-0.396365;0.0687404;-0.648882;0.74448;-0.156321;-0.0162936;1;2;3;7;8;9;0.958903;5.41489
rFoot;-0.021563;0.0181691;0.0998097;0.878014;-0.356322;0.138256;-0.288116;1;2;3;7;8;9;0.958903;5.41489
head;-0.202357;-0.158553;1.55998;0.583764;-0.472147;-0.379864;0.540371;1;2;3;7;8;9;0.958903;5.43169
hip;-0.14212;-0.172666;0.905146;0.458019;-0.373691;-0.468829;0.656333;1;2;3;7;8;9;0.958903;5.43169
lHand;-0.0746702;-0.370577;0.772218;0.403507;0.492896;-0.633571;-0.439117;1;2;3;7;8;9;0.958903;5.43169
rHand;-0.598128;-0.114493;0.93921;0.149087;0.0265011;0.853699;0.498266;1;2;3;7;8;9;0.958903;5.43169
lFoot;-0.284795;-0.390491;0.0677137;-0.689834;0.708632;-0.148198;-0.00245276;1;2;3;7;8;9;0.958903;5.43169
rFoot;-0.0227258;0.0163502;0.103389;0.873905;-0.360069;0.139438;-0.295292;1;2;3;7;8;9;0.958903;5.43169
head;-0.20592;-0.162414;1.56054;0.578674;-0.478785;-0.385083;0.536295;1;2;3;7;8;9;0.958903;5.4485
hip;-0.148738;-0.176791;0.906066;0.452507;-0.373765;-0.469926;0.659322;1;2;3;7;8;9;0.958903;5.4485
lHand;-0.0852179;-0.37913;0.77337;0.409845;0.48181;-0.635492;-0.442759;1;2;3;7;8;9;0.958903;5.4485
rHand;-0.599664;-0.112759;0.93712;0.154076;0.0177634;0.852697;0.498851;1;2;3;7;8;9;0.958903;5.4485
lFoot;-0.284761;-0.386116;0.0667762;-0.714642;0.685183;-0.140492;0.00862026;1;2;3;7;8;9;0.958903;5.4485
rFoot;-0.0236091;0.0138363;0.107875;0.867766;-0.366258;0.145486;-0.302774;1;2;3;7;8;9;0.958903;5.4485
head;-0.20973;-0.166185;1.56106;0.572923;-0.485765;-0.390157;0.532512;1;2;3;7;8;9;0.958903;5.46557
hip;-0.153068;-0.179491;0.906785;0.451372;-0.373475;-0.469889;0.66029;1;2;3;7;8;9;0.958903;5.46557
lHand;-0.0959384;-0.38781;0.774417;0.416827;0.472256;-0.636156;-0.445573;1;2;3;7;8;9;0.958903;5.46557
rHand;-0.601789;-0.111065;0.935438;0.157313;0.00996103;0.851592;0.499945;1;2;3;7;8;9;0.958903;5.46557
lFoot;-0.286254;-0.386589;0.0670382;-0.714298;0.685173;-0.141358;0.0182539;1;2;3;7;8;9;0.958903;5.46557
rFoot;-0.025171;0.0114548;0.112271;0.861573;-0.372611;0.148473;-0.311141;1;2;3;7;8;9;0.958903;5.46557
head;-0.21338;-0.170011;1.56146;0.566678;-0.492608;-0.395534;0.528929;1;2;3;7;8;9;0.958903;5.48193
hip;-0.154665;-0.179557;0.907145;0.457307;-0.369159;-0.463222;0.663338;1;2;3;7;8;9;0.958903;5.48193
lHand;-0.106659;-0.396312;0.775113;0.423979;0.463643;-0.635874;-0.448264;1;2;3;7;8;9;0.958903;5.48193
rHand;-0.603199;-0.109011;0.933458;0.15916;-0.000697555;0.850647;0.501066;1;2;3;7;8;9;0.958903;5.48193
lFoot;-0.287589;-0.392;0.0672918;-0.688359;0.71043;-0.145162;0.0194706;1;2;3;7;8;9;0.958903;5.48193
rFoot;-0.0271588;0.00907911;0.116771;0.855007;-0.378957;0.151196;-0.320147;1;2;3;7;8;9;0.958903;5.48193
head;-0.21706;-0.173806;1.56201;0.560471;-0.499259;-0.401156;0.525058;1;2;3;7;8;9;0.958903;5.49836
hip;-0.158112;-0.182073;0.90742;0.457609;-0.367541;-0.462743;0.664361;1;2;3;7;8;9;0.958903;5.49836
lHand;-0.11846;-0.405296;0.775991;0.433585;0.454847;-0.633502;-0.451436;1;2;3;7;8;9;0.958903;5.49836
