tag;subject;activity;rawPosX;rawPosY;rawPosZ;desPosX;desPosY;desPosZ;finalPosX;finalPosY;finalPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;desRotX;desRotY;desRotZ;desRotW;finalRotX;finalRotY;finalRotZ;finalRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_10;Krieger_1;-0.0179074;0.0667885;0.997606;0;0;0;0;0;0;0.680444;0.0397168;-0.0101913;0.0397168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.389
hip;Subject_10;Krieger_1;-0.0479091;0.127303;0.990706;0;0;0;0;0;0;-0.483896;-0.0182537;0.00440925;-0.0182537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.389
lForeArm;Subject_10;Krieger_1;0.400797;-0.00451809;0.916156;0;0;0;0;0;0;0.411716;0.518009;-0.700019;0.518009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.389
rForeArm;Subject_10;Krieger_1;-0.421032;-0.0529988;0.905496;0;0;0;0;0;0;-0.293339;0.463987;-0.804319;0.463987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.389
lFoot;Subject_10;Krieger_1;0.360679;0.810916;0.460788;0;0;0;0;0;0;0.983872;-0.0170494;0.0286117;-0.0170494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.389
rFoot;Subject_10;Krieger_1;-0.676137;0.617603;0.401753;0;0;0;0;0;0;-0.988721;-0.0144199;0.0197258;-0.0144199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.389
head;Subject_10;Krieger_1;-0.0173823;0.0672214;0.997587;0;0;0;0;0;0;0.679493;0.0402151;-0.0104407;0.0402151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.401
hip;Subject_10;Krieger_1;-0.0472801;0.127208;0.990749;0;0;0;0;0;0;-0.484201;-0.0178275;0.00526228;-0.0178275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.401
lForeArm;Subject_10;Krieger_1;0.402592;-0.00162049;0.915378;0;0;0;0;0;0;0.411701;0.519136;-0.698544;0.519136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.401
rForeArm;Subject_10;Krieger_1;-0.419762;-0.0509534;0.906203;0;0;0;0;0;0;-0.300059;0.461251;-0.804242;0.461251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.401
lFoot;Subject_10;Krieger_1;0.360373;0.810988;0.460901;0;0;0;0;0;0;0.983879;-0.0173032;0.0282163;-0.0173032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.401
rFoot;Subject_10;Krieger_1;-0.676488;0.617227;0.40174;0;0;0;0;0;0;-0.988688;-0.0146145;0.0197351;-0.0146145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.401
head;Subject_10;Krieger_1;-0.0168854;0.0676886;0.997564;0;0;0;0;0;0;0.678458;0.0407977;-0.010798;0.0407977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.412
hip;Subject_10;Krieger_1;-0.0466412;0.127264;0.990772;0;0;0;0;0;0;-0.484298;-0.0176877;0.00584994;-0.0176877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.412
lForeArm;Subject_10;Krieger_1;0.403885;0.0015386;0.914808;0;0;0;0;0;0;0.411954;0.520857;-0.696772;0.520857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.412
rForeArm;Subject_10;Krieger_1;-0.419193;-0.050152;0.906511;0;0;0;0;0;0;-0.306704;0.456996;-0.804807;0.456996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.412
lFoot;Subject_10;Krieger_1;0.359817;0.811408;0.460596;0;0;0;0;0;0;0.98388;-0.016721;0.0279888;-0.016721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.412
rFoot;Subject_10;Krieger_1;-0.676542;0.617108;0.401832;0;0;0;0;0;0;-0.988648;-0.0148516;0.0199457;-0.0148516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.412
head;Subject_10;Krieger_1;-0.0163509;0.0681661;0.99754;0;0;0;0;0;0;0.677361;0.0411174;-0.0111023;0.0411174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.423
hip;Subject_10;Krieger_1;-0.0461249;0.127059;0.990822;0;0;0;0;0;0;-0.484464;-0.0176869;0.00612774;-0.0176869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;534.423
